client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20250501-002700-MACD-000-13,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-010,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-090,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,1793.38,0.0,['0.00896690 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,29a13825-5471-41b4-94a3-8df0e2b33a28,2025-05-01 00:27:00+00:00,2025-05-01 00:27:00+00:00
O-20250501-002700-MACD-000-14,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-011,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-091,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,1793.38,0.0,['0.00896690 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fba36d7d-42d3-4eb2-9e6f-75e1f54ff176,2025-05-01 00:27:00+00:00,2025-05-01 00:27:00+00:00
O-20250501-003900-MACD-000-15,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-012,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-096,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,1795.27,0.0,['0.00897635 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,007ab4a3-016d-492f-a2e1-eb998fb59bd8,2025-05-01 00:39:00+00:00,2025-05-01 00:39:00+00:00
O-20250501-003900-MACD-000-16,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-013,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-097,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,1795.27,0.0,['0.00897635 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5a18e48c-3066-4586-b115-e6209734efb1,2025-05-01 00:39:00+00:00,2025-05-01 00:39:00+00:00
O-20250501-013900-MACD-000-17,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-014,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-118,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,1799.65,0.0,['0.00899825 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,efabb3fe-c2ad-4ea8-a87f-1192db366596,2025-05-01 01:39:00+00:00,2025-05-01 01:39:00+00:00
O-20250501-013900-MACD-000-18,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-015,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-119,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,1799.65,0.0,['0.00899825 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,add818f5-e459-42a5-b621-81f2ce8e12f0,2025-05-01 01:39:00+00:00,2025-05-01 01:39:00+00:00
O-20250501-014500-MACD-000-19,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-004,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-111,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,94566.1,0.0,['0.47283050 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,30c2ad2e-d52f-45f0-b82d-26f2a9201551,2025-05-01 01:45:00+00:00,2025-05-01 01:45:00+00:00
O-20250501-014500-MACD-000-20,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-005,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-112,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,94566.1,0.0,['0.47283050 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,80417c46-d54e-455c-8527-aa2cefb03ea7,2025-05-01 01:45:00+00:00,2025-05-01 01:45:00+00:00
O-20250501-015400-MACD-000-21,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-016,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-125,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,1808.01,0.0,['0.00904005 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,013b4070-24bb-4e8e-95e2-ecf66d975d23,2025-05-01 01:54:00+00:00,2025-05-01 01:54:00+00:00
O-20250501-015400-MACD-000-22,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-017,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-126,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,1808.01,0.0,['0.00904005 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a2fec770-86a3-4a24-9454-f2b37dad7715,2025-05-01 01:54:00+00:00,2025-05-01 01:54:00+00:00
