,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2025-05-01 01:45:00+00:00,10004.47955120,4.84904283,9999.63050837,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.75816050', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09088233', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 01:45:00+00:00,10004.00672070,0.09088233,10003.91583837,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09088233', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 01:54:00+00:00,10003.91408065,4.86647038,9999.04761027,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09088233', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.77558805', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 01:54:00+00:00,10003.90504060,4.77558805,9999.12945255,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.77558805', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 02:09:00+00:00,10001.84241560,4.86689256,9996.97552304,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.77558805', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09130451', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 02:09:00+00:00,10001.36879060,0.09130451,10001.27748609,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09130451', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 02:12:00+00:00,10000.21750460,4.87491701,9995.34258759,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09130451', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78361250', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 02:12:00+00:00,9999.74421860,0.09130451,9999.65291409,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09130451', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 02:15:00+00:00,9998.54256860,4.87149311,9993.67107549,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09130451', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78018860', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 02:15:00+00:00,9998.06891860,0.09130451,9997.97761409,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09130451', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 02:39:00+00:00,9998.10605545,4.87516951,9993.23088594,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09130451', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78386500', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 02:39:00+00:00,9998.09699230,4.78386500,9993.31312730,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78386500', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 02:48:00+00:00,9998.43093830,4.87540282,9993.55553548,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78386500', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09153782', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 02:48:00+00:00,9997.95688430,0.09153782,9997.86534648,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09153782', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 03:36:00+00:00,9997.95722585,4.87948322,9993.07774263,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09153782', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78794540', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 03:36:00+00:00,9997.94816740,4.78794540,9993.16022200,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78794540', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 03:45:00+00:00,9997.90832435,4.87943575,9993.02888860,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78794540', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09149035', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 03:45:00+00:00,9997.89928130,4.78794540,9993.11133590,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78794540', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 04:09:00+00:00,9997.50426680,4.87928021,9992.62498659,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78794540', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09133481', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 04:09:00+00:00,9997.03025230,0.09133481,9996.93891749,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09133481', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 04:18:00+00:00,9995.70666280,4.87888126,9990.82778154,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09133481', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78754645', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 04:18:00+00:00,9995.23307330,0.09133481,9995.14173849,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09133481', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 04:21:00+00:00,9994.11916380,4.87458876,9989.24457504,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09133481', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78325395', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 04:21:00+00:00,9993.64525430,0.09133481,9993.55391949,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09133481', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 04:24:00+00:00,9992.35375380,4.87782076,9987.47593304,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09133481', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78648595', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 04:24:00+00:00,9991.88025330,0.09133481,9991.78891849,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09133481', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 04:39:00+00:00,9991.87251090,4.87368986,9986.99882104,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09133481', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78235505', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 04:39:00+00:00,9991.86346850,4.78235505,9987.08111345,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78235505', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 04:42:00+00:00,9990.70362500,4.87368329,9985.82994171,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78235505', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09132824', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 04:42:00+00:00,9990.22978150,0.09132824,9990.13845326,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09132824', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 05:30:00+00:00,9990.61151000,4.87714759,9985.73436241,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09132824', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.78581935', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 05:30:00+00:00,9990.13723850,0.09132824,9990.04591026,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09132824', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 05:33:00+00:00,9988.49338250,4.88147039,9983.61191211,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09132824', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.79014215', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 05:33:00+00:00,9988.01852650,0.09132824,9987.92719826,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09132824', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 06:09:00+00:00,9988.25031700,4.88737384,9983.36294316,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09132824', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.79604560', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 06:09:00+00:00,9987.77510750,0.09132824,9987.68377926,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09132824', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 06:12:00+00:00,9987.77396115,4.89094419,9982.88301696,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09132824', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.79961595', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 06:12:00+00:00,9987.76491480,4.79961595,9982.96529885,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.79961595', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
2025-05-01 07:09:00+00:00,9988.53132580,4.89098409,9983.64034171,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.79961595', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09136814', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 07:09:00+00:00,9988.05673680,0.09136814,9987.96536866,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09136814', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}]",False,{}
2025-05-01 07:12:00+00:00,9988.07410365,4.88471704,9983.18938661,USDT,OKX-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '0.09136814', 'currency': 'USDT', 'instrument_id': 'ETH/USDT.OKX'}, {'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.79334890', 'currency': 'USDT', 'instrument_id': 'BTC/USDT.OKX'}]",False,{}
